0.1,-0.0161012,0,-0.028786,-0.161012,-0.174592,-0.335744,-0.0622293,-0.169533,-0.00586708,0.952378,0.1,0,0.01,1
0.2,0.15461,-0.00491545,-0.00381031,1.70782,0.300959,0.492366,0.0945801,0.0684129,0.0675355,0.953613,0.199995,0.000999983,0.02,1
0.3,0.445642,-0.00602438,-0.0124628,2.91034,-0.0770991,0.0118984,0.0908203,0.0577594,0.0692354,0.952089,0.299975,0.00299985,0.03,1
0.4,0.642668,-0.00848,0.0309925,1.97041,1.18624,-0.602068,0.361059,-0.102096,-0.0460667,0.960935,0.39993,0.0059994,0.04,1
0.5,0.899609,-0.000514186,0.0253179,2.57065,1.29544,0.429782,0.57762,0.0215042,0.071037,0.957752,0.49985,0.00999833,0.05,1
0.6,0.816535,-0.0026179,0.0592529,-0.831007,1.06485,-0.0221211,0.736666,0.0129047,0.0727781,0.952991,0.599725,0.0149963,0.06,1
0.7,0.881336,0.00122624,0.112272,0.649148,0.456094,-0.228339,0.77307,-0.0376708,0.0258699,0.952823,0.699545,0.0209927,0.07,1
0.8,0.924648,0.00610953,0.142086,0.435868,0.894269,-0.312559,0.87192,-0.098111,-0.0332431,0.953089,0.7993,0.0279869,0.08,1
0.9,1.02845,0.0209577,0.129767,1.04854,0.576442,-0.293237,0.822874,-0.151216,-0.0674238,0.948686,0.89898,0.0359784,0.09,1
1,1.06668,0.0259477,0.128644,0.385613,1.09391,0.17748,0.832778,-0.0764659,0.0136192,0.959313,0.998576,0.0449663,0.1,1
1.1,1.281,0.0536712,0.140894,2.16101,1.28435,0.00852524,0.925177,-0.06404,0.0437536,0.958724,1.09808,0.0549496,0.11,1
1.2,1.45769,0.0787322,0.172593,1.78461,1.57389,-0.0510623,1.04842,-0.057627,0.0551935,0.959899,1.19747,0.0659274,0.12,1
1.3,1.53041,0.0914099,0.206763,0.738204,1.70198,0.263664,1.25345,0.01328,0.122644,0.951551,1.29675,0.0778987,0.13,1
1.4,1.49354,0.0836749,0.247046,-0.376777,1.2618,-0.219721,1.34612,-0.0279195,0.0831679,0.953269,1.39591,0.0908621,0.14,1
1.5,1.77245,0.154016,0.256444,2.87647,1.80245,0.39823,1.63278,0.0652029,0.167561,0.94845,1.49493,0.104816,0.15,1
1.6,1.7852,0.157358,0.314768,0.131768,1.4463,0.377509,1.75326,0.143586,0.238834,0.958744,1.59381,0.11976,0.16,1
1.7,1.98478,0.222342,0.274498,2.09897,2.28125,-0.0094533,1.9414,0.127732,0.213487,0.951607,1.69253,0.135692,0.17,1
1.8,2.15164,0.26933,0.310255,1.73346,1.89256,0.110709,1.97009,0.135391,0.227163,0.952424,1.79109,0.15261,0.18,1
1.9,2.20595,0.286742,0.304058,0.570337,2.31885,0.65245,2.21797,0.231578,0.305344,0.952132,1.88947,0.170513,0.19,1
2,2.40769,0.350046,0.29539,2.11442,2.41018,0.708911,2.2499,0.347984,0.365297,0.955368,1.98767,0.189399,0.2,1
2.1,2.51707,0.383329,0.304083,1.1433,2.84598,0.643772,2.49815,0.412457,0.434255,0.949677,2.08568,0.209266,0.21,1
2.2,2.5326,0.388203,0.331071,0.162775,2.51712,0.664485,2.43489,0.470126,0.485927,0.956836,2.18348,0.230112,0.22,1
2.3,2.54376,0.39204,0.409835,0.118027,2.4935,-0.223376,2.35771,0.399456,0.421375,0.960104,2.28107,0.251935,0.23,1
2.4,2.49313,0.370043,0.419363,-0.552037,2.48266,0.546936,2.49392,0.442635,0.44458,0.953576,2.37844,0.274733,0.24,1
2.5,2.45366,0.352447,0.416971,-0.432152,2.14054,0.417688,2.58727,0.475603,0.452045,0.985406,2.47557,0.298503,0.25,1
2.6,2.45309,0.352196,0.416677,-0.00620759,2.34721,0.586356,2.64344,0.507586,0.457872,0.95642,2.57246,0.323243,0.26,1
